timestamp,delta,0-R1-Acc-x,0-R1-Acc-y,0-R1-Acc-z,0-R1-Gyr-x,0-R1-Gyr-y,0-R1-Gyr-z,0-R1-Mag-x,0-R1-Mag-y,0-R1-Mag-z,1-R2-Acc-x,1-R2-Acc-y,1-R2-Acc-z,1-R2-Gyr-x,1-R2-Gyr-y,1-R2-Gyr-z,1-R2-Mag-x,1-R2-Mag-y,1-R2-Mag-z,label
0.009236812591552734,0.009236812591552734,-0.9672574996948242,7.163451671600342,7.067683219909668,0.015969762578606606,0.203348308801651,0.2565808594226837,-5.6875,5.1875,-28.5625,None,None,None,None,None,None,None,None,None,0
0.037899017333984375,0.02866220474243164,-0.7469909191131592,6.933608055114746,7.259219646453857,-0.004258603323251009,0.20867156982421875,0.280003160238266,-5.75,5.25,-28.75,None,None,None,None,None,None,None,None,None,0
0.06349968910217285,0.025600671768188477,-0.31603461503982544,6.885724067687988,7.354987621307373,-0.024486970156431198,0.14905111491680145,0.10327113419771194,-6.0,5.6875,-28.75,None,None,None,None,None,None,None,None,None,0
0.07296371459960938,0.009464025497436523,-0.9672574996948242,7.393294811248779,7.805097579956055,0.02874557301402092,0.22889992594718933,-0.06707300245761871,-6.125,5.6875,-28.875,None,None,None,None,None,None,None,None,None,0
0.09615063667297363,0.023186922073364258,-1.3120225667953491,7.450755596160889,7.757213592529297,0.10433578491210938,0.2842617630958557,-0.09368927031755447,-6.3125,5.1875,-28.875,None,None,None,None,None,None,None,None,None,0
0.12251067161560059,0.026360034942626953,-1.599326729774475,7.393294811248779,7.718906402587891,0.5312607884407043,0.6238853931427002,0.12562879920005798,-6.0625,4.625,-28.875,None,None,None,None,None,None,None,None,None,0
0.13012361526489258,0.007612943649291992,-1.6089035272598267,7.144298076629639,7.249642848968506,0.6355965733528137,0.7090574502944946,0.17460273206233978,-5.75,4.5,-29.125,None,None,None,None,None,None,None,None,None,0
0.15990662574768066,0.029783010482788086,-1.7908629179000854,7.096413612365723,6.828263282775879,0.6174975037574768,0.637725830078125,0.21612411737442017,-4.875,3.875,-29.4375,None,None,None,None,None,None,None,None,None,0
0.17847275733947754,0.018566131591796875,-1.7525556087493896,7.230489253997803,6.004657745361328,0.46844637393951416,0.4631231129169464,0.3704984784126282,-3.9375,3.75,-29.5,None,None,None,None,None,None,None,None,None,0
0.189863920211792,0.011391162872314453,-1.455674648284912,7.393294811248779,7.1251444816589355,0.45034730434417725,0.6654067635536194,0.6515663266181946,-3.25,3.4375,-29.75,None,None,None,None,None,None,None,None,None,0
0.21583795547485352,0.025974035263061523,-1.6855180263519287,7.546523571014404,7.51779317855835,0.5557477474212646,0.6888290643692017,0.7303504943847656,-3.4375,3.5625,-29.875,None,None,None,None,None,None,None,None,None,0
